date,code,open,high,low,close,volume
20201201,hDJI,29797.5,30083.310546875,29797.5,29823.919921875,429510000.0
20201202,hDJI,29695.08984375,29902.509765625,29599.2890625,29883.7890625,385280000.0
20201203,hDJI,29920.830078125,30110.880859375,29877.26953125,29969.51953125,405680000.0
20201204,hDJI,29989.560546875,30218.259765625,29989.560546875,30218.259765625,356590000.0
20201207,hDJI,30233.029296875,30233.029296875,29967.220703125,30069.7890625,365810000.0
20201208,hDJI,29997.94921875,30246.220703125,29972.0703125,30173.880859375,311190000.0
20201209,hDJI,30229.810546875,30319.69921875,29951.849609375,30068.810546875,380520000.0
20201210,hDJI,30032.55078125,30063.869140625,29876.8203125,29999.259765625,325550000.0
20201211,hDJI,29988.2109375,30071.130859375,29820.83984375,30046.369140625,393870000.0
20201214,hDJI,30123.91015625,30325.7890625,29849.150390625,29861.55078125,371980000.0
20201215,hDJI,29919.08984375,30243.259765625,29894.94921875,30199.310546875,417770000.0
20201216,hDJI,30191.380859375,30236.029296875,30080.109375,30154.5390625,344590000.0
20201217,hDJI,30216.0,30323.779296875,30216.0,30303.369140625,345530000.0
20201218,hDJI,30314.259765625,30343.58984375,30029.439453125,30179.05078125,782070000.0
20201221,hDJI,30159.0,30304.140625,29755.529296875,30216.44921875,437480000.0
20201222,hDJI,30200.19921875,30200.19921875,29992.890625,30015.509765625,388810000.0
20201223,hDJI,30046.73046875,30292.529296875,30046.73046875,30129.830078125,274050000.0
20201224,hDJI,30155.919921875,30209.669921875,30099.30078125,30199.869140625,145570000.0
20201228,hDJI,30283.23046875,30525.560546875,30283.23046875,30403.970703125,302490000.0
20201229,hDJI,30492.0703125,30588.7890625,30274.240234375,30335.669921875,357610000.0
20201230,hDJI,30415.08984375,30525.349609375,30393.0390625,30409.560546875,291890000.0
20201231,hDJI,30417.640625,30637.470703125,30344.5,30606.48046875,284470000.0
20210104,hDJI,30627.470703125,30674.279296875,29881.8203125,30223.890625,475080000.0
20210105,hDJI,30204.25,30504.890625,30141.779296875,30391.599609375,350910000.0
20210106,hDJI,30362.779296875,31022.650390625,30313.0703125,30829.400390625,500430000.0
20210107,hDJI,30901.1796875,31193.400390625,30897.859375,31041.130859375,427810000.0
20210108,hDJI,31069.580078125,31140.669921875,30793.26953125,31097.970703125,381150000.0
20210111,hDJI,31015.369140625,31096.98046875,30832.060546875,31008.689453125,356540000.0
20210112,hDJI,31015.009765625,31114.560546875,30888.759765625,31068.689453125,362620000.0
20210113,hDJI,31084.880859375,31153.369140625,30992.05078125,31060.470703125,413250000.0
20210114,hDJI,31085.669921875,31223.779296875,30982.240234375,30991.51953125,427810000.0
20210115,hDJI,30926.76953125,30941.98046875,30612.669921875,30814.259765625,433000000.0
20210119,hDJI,30887.419921875,31086.619140625,30865.029296875,30930.51953125,386400000.0
20210120,hDJI,31017.5390625,31235.98046875,30997.7890625,31188.380859375,384980000.0
20210121,hDJI,31198.009765625,31272.220703125,31120.919921875,31176.009765625,418780000.0
20210122,hDJI,31141.560546875,31141.560546875,30908.470703125,30996.98046875,436040000.0
20210125,hDJI,30989.849609375,30989.849609375,30564.060546875,30960.0,472890000.0
20210126,hDJI,30968.55078125,31121.419921875,30921.7109375,30937.0390625,373150000.0
20210127,hDJI,30893.779296875,30893.779296875,30206.91015625,30303.169921875,566470000.0
20210128,hDJI,30377.189453125,30951.41015625,30377.189453125,30603.359375,465140000.0
20210129,hDJI,30553.91015625,30553.91015625,29856.30078125,29982.619140625,536320000.0
20210201,hDJI,30054.73046875,30335.91015625,30014.970703125,30211.91015625,347060000.0
20210202,hDJI,30276.880859375,30840.5390625,30276.880859375,30687.48046875,333160000.0
20210203,hDJI,30689.650390625,30793.41015625,30521.310546875,30723.599609375,305590000.0
20210204,hDJI,30737.779296875,31065.9609375,30737.779296875,31055.859375,338330000.0
20210205,hDJI,31093.810546875,31252.1796875,31083.220703125,31148.240234375,293550000.0
20210208,hDJI,31191.19921875,31386.099609375,31191.19921875,31385.759765625,322250000.0
20210209,hDJI,31359.880859375,31439.470703125,31245.859375,31375.830078125,308210000.0
20210210,hDJI,31428.01953125,31511.439453125,31221.3203125,31437.80078125,326450000.0
20210211,hDJI,31466.490234375,31543.8203125,31244.359375,31430.69921875,280320000.0
20210212,hDJI,31420.80078125,31475.310546875,31347.80078125,31458.400390625,263090000.0
20210216,hDJI,31472.080078125,31608.630859375,31443.48046875,31522.75,329210000.0
20210217,hDJI,31485.609375,31643.69921875,31338.759765625,31613.01953125,343510000.0
20210218,hDJI,31558.599609375,31558.599609375,31285.3203125,31493.33984375,325990000.0
20210219,hDJI,31504.130859375,31647.529296875,31469.33984375,31494.3203125,353070000.0
